event_type,event_date,user_id,project_name,organization,action,commits_count,files_changed,is_public,language
CommitEvent,2023-11-21,robert_brown,elastic/beats,elastic,closed,13.0,8.0,True,Rust
PullRequestEvent,2023-09-22,maria_rodriguez,microsoft/PowerToys,microsoft,approved,35.0,69.0,True,Rust
IssuesEvent,2023-10-17,mike_johnson,vercel/turbo,vercel,updated,,,True,C++
PullRequestEvent,2023-07-02,tom_nelson,netflix/ribbon,netflix,merged,18.0,18.0,False,Rust
MergeEvent,2023-03-02,lisa_anderson,google/angular,google,updated,,,True,C++
IssuesEvent,2023-05-16,tom_nelson,vercel/turbo,vercel,created,,,True,Go
IssuesEvent,2023-06-04,mike_johnson,facebook/docusaurus,facebook,updated,,,True,Rust
IssuesEvent,2023-08-26,olivia_zhang,apache/airflow,apache,approved,,,False,Python
PullRequestEvent,2023-08-08,emma_garcia,uber/jaeger,uber,approved,12.0,67.0,True,Python
PullRequestEvent,2023-05-12,maria_rodriguez,hashicorp/terraform,hashicorp,commented,28.0,31.0,True,C++
CommitEvent,2023-06-18,rachel_kim,airbnb/enzyme,airbnb,created,3.0,4.0,True,Go
PushEvent,2023-11-03,lisa_anderson,netflix/conductor,netflix,commented,4.0,22.0,True,Java
PullRequestEvent,2023-05-05,nina_patel,google/kubernetes,google,commented,4.0,52.0,True,TypeScript
MergeEvent,2023-12-30,tom_nelson,facebook/relay,facebook,updated,,,True,JavaScript
IssuesEvent,2023-07-29,dan_murphy,apache/cassandra,apache,approved,,,True,C++
MergeEvent,2023-11-18,chris_lee,apache/cassandra,apache,reviewed,,,False,JavaScript
PushEvent,2023-03-06,maria_rodriguez,airbnb/mavericks,airbnb,merged,9.0,12.0,True,Go
CreateEvent,2023-08-12,alex_kumar,hashicorp/nomad,hashicorp,approved,,,True,Python
CreateEvent,2023-05-08,david_martinez,apache/airflow,apache,commented,,,True,Python
PushEvent,2023-07-18,maria_rodriguez,airbnb/javascript,airbnb,reviewed,14.0,18.0,False,JavaScript
CreateEvent,2023-02-05,mark_davis,google/flutter,google,opened,,,True,Python
MergeEvent,2023-07-01,david_martinez,hashicorp/terraform,hashicorp,reviewed,,,True,Rust
IssuesEvent,2023-05-23,mark_davis,hashicorp/vagrant,hashicorp,commented,,,True,Python
CreateEvent,2023-08-27,sophie_duval,uber/react-map-gl,uber,reviewed,,,False,JavaScript
CommitEvent,2023-09-17,sarah_chen,hashicorp/nomad,hashicorp,closed,1.0,22.0,True,Python
IssuesEvent,2023-03-01,emma_garcia,hashicorp/vagrant,hashicorp,closed,,,True,TypeScript
CommitEvent,2023-06-01,james_smith,elastic/kibana,elastic,reviewed,15.0,4.0,True,JavaScript
CommitEvent,2023-05-09,david_martinez,apache/beam,apache,commented,13.0,2.0,True,JavaScript
CommitEvent,2023-04-30,tom_nelson,netflix/zuul,netflix,approved,5.0,18.0,True,C++
CommitEvent,2023-04-21,dan_murphy,netflix/archaius,netflix,closed,4.0,22.0,True,Go
PullRequestEvent,2023-08-15,john_taylor,netflix/hystrix,netflix,closed,7.0,31.0,True,Rust
CreateEvent,2023-09-01,nina_patel,google/go,google,approved,,,False,Go
CommitEvent,2023-02-08,nina_patel,netflix/archaius,netflix,approved,15.0,12.0,True,Go
CreateEvent,2023-10-07,emma_garcia,facebook/react,facebook,approved,,,True,Go
MergeEvent,2023-06-24,maria_rodriguez,google/tensorflow,google,merged,,,True,Rust
IssuesEvent,2023-04-04,james_smith,netflix/zuul,netflix,opened,,,True,Java
PullRequestEvent,2023-04-05,sarah_chen,apache/flink,apache,closed,19.0,73.0,True,C++
IssuesEvent,2023-07-15,rachel_kim,hashicorp/terraform,hashicorp,created,,,True,JavaScript
PullRequestEvent,2023-06-24,olivia_zhang,airbnb/javascript,airbnb,opened,34.0,44.0,False,TypeScript
PushEvent,2023-09-01,rachel_kim,elastic/elasticsearch,elastic,merged,8.0,6.0,False,C++
PullRequestEvent,2023-09-01,james_smith,apache/kafka,apache,closed,3.0,34.0,True,TypeScript
CreateEvent,2023-11-23,emma_garcia,microsoft/dotnet,microsoft,closed,,,True,Python
PullRequestEvent,2023-09-28,mike_johnson,netflix/conductor,netflix,reviewed,31.0,58.0,True,Java
IssuesEvent,2023-10-02,john_taylor,google/angular,google,created,,,True,JavaScript
MergeEvent,2023-06-23,olivia_zhang,vercel/turbo,vercel,merged,,,True,JavaScript
PushEvent,2023-04-09,dan_murphy,elastic/elasticsearch,elastic,opened,7.0,8.0,True,Rust
MergeEvent,2023-02-06,rachel_kim,hashicorp/nomad,hashicorp,closed,,,True,Go
CommitEvent,2023-01-12,maria_rodriguez,apache/beam,apache,approved,8.0,25.0,True,Go
IssuesEvent,2023-01-19,robert_brown,uber/jaeger,uber,updated,,,False,Rust
PullRequestEvent,2023-01-02,olivia_zhang,facebook/jest,facebook,created,3.0,93.0,False,Go
CommitEvent,2023-02-07,david_martinez,facebook/react,facebook,updated,14.0,7.0,False,Java
PushEvent,2023-02-06,dan_murphy,hashicorp/vault,hashicorp,opened,9.0,22.0,False,C++
MergeEvent,2023-12-14,tom_nelson,elastic/beats,elastic,commented,,,True,Rust
PushEvent,2023-11-27,john_taylor,microsoft/TypeScript,microsoft,closed,3.0,2.0,True,Go
CommitEvent,2023-01-27,olivia_zhang,uber/pyro,uber,approved,3.0,12.0,True,Rust
MergeEvent,2023-06-27,anna_wilson,netflix/ribbon,netflix,merged,,,True,Java
IssuesEvent,2023-12-08,sophie_duval,uber/jaeger,uber,created,,,True,Python
CreateEvent,2023-07-09,nina_patel,facebook/react-native,facebook,approved,,,True,Java
CreateEvent,2023-11-18,dan_murphy,apache/airflow,apache,reviewed,,,True,Go
CommitEvent,2023-06-03,alex_kumar,hashicorp/packer,hashicorp,created,4.0,23.0,True,Python
IssuesEvent,2023-11-26,james_smith,uber/jaeger,uber,updated,,,True,TypeScript
CommitEvent,2023-01-25,dan_murphy,hashicorp/terraform,hashicorp,updated,2.0,16.0,True,C++
PullRequestEvent,2023-05-21,nina_patel,airbnb/enzyme,airbnb,reviewed,4.0,74.0,False,Java
PullRequestEvent,2023-01-06,emma_garcia,google/kubernetes,google,reviewed,25.0,8.0,True,Python
PullRequestEvent,2023-06-04,sophie_duval,apache/cassandra,apache,created,37.0,18.0,True,Java
CommitEvent,2023-01-05,david_martinez,apache/beam,apache,closed,14.0,16.0,True,Rust
IssuesEvent,2023-04-28,tom_nelson,facebook/react-native,facebook,created,,,True,TypeScript
PullRequestEvent,2023-04-13,lisa_anderson,netflix/conductor,netflix,merged,13.0,69.0,True,JavaScript
IssuesEvent,2023-01-12,robert_brown,hashicorp/vault,hashicorp,created,,,True,Java
IssuesEvent,2023-02-04,james_smith,google/kubernetes,google,approved,,,False,TypeScript
CreateEvent,2023-03-10,alex_kumar,uber/pyro,uber,updated,,,False,Java
PullRequestEvent,2023-08-05,david_martinez,netflix/archaius,netflix,commented,42.0,13.0,True,Rust
IssuesEvent,2023-04-12,tom_nelson,microsoft/TypeScript,microsoft,closed,,,True,Rust
CreateEvent,2023-02-21,lisa_anderson,microsoft/playwright,microsoft,created,,,True,Go
PullRequestEvent,2023-04-24,mike_johnson,netflix/conductor,netflix,commented,21.0,7.0,True,Go
CommitEvent,2023-01-27,sophie_duval,hashicorp/vault,hashicorp,closed,1.0,11.0,True,Rust
MergeEvent,2023-04-30,alex_kumar,vercel/micro,vercel,created,,,True,JavaScript
CreateEvent,2023-09-15,robert_brown,facebook/yoga,facebook,created,,,True,Python
CommitEvent,2023-04-16,maria_rodriguez,google/kubernetes,google,opened,13.0,16.0,True,JavaScript
PullRequestEvent,2023-06-15,rachel_kim,facebook/relay,facebook,commented,15.0,32.0,True,JavaScript
CreateEvent,2023-09-14,olivia_zhang,vercel/swr,vercel,closed,,,False,JavaScript
MergeEvent,2023-10-21,olivia_zhang,apache/flink,apache,created,,,True,Java
IssuesEvent,2023-08-16,lisa_anderson,airbnb/enzyme,airbnb,opened,,,False,Java
IssuesEvent,2023-01-08,anna_wilson,hashicorp/vagrant,hashicorp,reviewed,,,True,TypeScript
MergeEvent,2023-08-31,maria_rodriguez,microsoft/playwright,microsoft,reviewed,,,True,TypeScript
CreateEvent,2023-01-24,maria_rodriguez,elastic/beats,elastic,merged,,,True,Go
PushEvent,2023-12-07,tom_nelson,microsoft/playwright,microsoft,approved,8.0,10.0,True,Python
CommitEvent,2023-08-13,alex_kumar,netflix/conductor,netflix,merged,15.0,19.0,True,JavaScript
IssuesEvent,2023-12-05,james_smith,netflix/eureka,netflix,merged,,,True,Python
CommitEvent,2023-02-04,tom_nelson,apache/kafka,apache,approved,9.0,11.0,False,Java
CreateEvent,2023-07-07,nina_patel,microsoft/playwright,microsoft,created,,,True,Go
CommitEvent,2023-07-31,david_martinez,facebook/yoga,facebook,merged,4.0,4.0,True,C++
PullRequestEvent,2023-07-26,tom_nelson,facebook/jest,facebook,opened,37.0,40.0,True,TypeScript
PullRequestEvent,2023-10-28,dan_murphy,google/tensorflow,google,commented,42.0,49.0,True,C++
PushEvent,2023-03-26,james_smith,netflix/eureka,netflix,reviewed,4.0,22.0,False,Go
MergeEvent,2023-07-08,nina_patel,microsoft/PowerToys,microsoft,merged,,,True,C++
PullRequestEvent,2023-06-26,nina_patel,apache/spark,apache,closed,10.0,72.0,False,Python
CreateEvent,2023-09-18,olivia_zhang,netflix/zuul,netflix,commented,,,False,Rust
PushEvent,2023-05-25,mike_johnson,uber/cadence,uber,opened,3.0,22.0,True,JavaScript
IssuesEvent,2023-01-29,lisa_anderson,facebook/docusaurus,facebook,approved,,,False,Java
PullRequestEvent,2023-10-30,mark_davis,facebook/react-native,facebook,opened,26.0,46.0,True,Go
PushEvent,2023-06-13,david_martinez,hashicorp/nomad,hashicorp,closed,5.0,6.0,True,Java
IssuesEvent,2023-01-16,alex_kumar,netflix/hystrix,netflix,approved,,,False,Rust
MergeEvent,2023-08-25,jen_liu,google/kubernetes,google,created,,,True,Python
PullRequestEvent,2023-02-09,sarah_chen,netflix/zuul,netflix,commented,32.0,47.0,True,TypeScript
PullRequestEvent,2023-12-21,jen_liu,google/kubernetes,google,commented,16.0,26.0,True,TypeScript
CommitEvent,2023-08-03,robert_brown,uber/cadence,uber,reviewed,6.0,25.0,True,TypeScript
PullRequestEvent,2023-02-09,alex_kumar,airbnb/visx,airbnb,updated,7.0,33.0,True,Go
PullRequestEvent,2023-06-19,chris_lee,apache/cassandra,apache,approved,29.0,2.0,True,JavaScript
PullRequestEvent,2023-03-04,sarah_chen,airbnb/javascript,airbnb,approved,48.0,7.0,True,Go
PullRequestEvent,2023-05-28,tom_nelson,netflix/zuul,netflix,updated,2.0,80.0,True,TypeScript
CommitEvent,2023-06-26,jen_liu,hashicorp/vagrant,hashicorp,merged,15.0,8.0,True,TypeScript
PushEvent,2023-02-22,tom_nelson,facebook/jest,facebook,opened,12.0,14.0,True,Java
PushEvent,2023-10-21,sophie_duval,netflix/zuul,netflix,closed,3.0,13.0,True,Go
PullRequestEvent,2023-08-10,jen_liu,netflix/eureka,netflix,created,7.0,89.0,False,C++
MergeEvent,2023-08-20,nina_patel,google/flutter,google,approved,,,True,Go
PullRequestEvent,2023-11-12,lisa_anderson,microsoft/terminal,microsoft,commented,10.0,99.0,True,C++
PushEvent,2023-06-24,mike_johnson,apache/airflow,apache,updated,6.0,12.0,True,Java
IssuesEvent,2023-02-09,mark_davis,apache/cassandra,apache,reviewed,,,True,JavaScript
MergeEvent,2023-09-13,jen_liu,vercel/swr,vercel,commented,,,True,Go
CommitEvent,2023-12-07,mike_johnson,google/tensorflow,google,approved,11.0,8.0,False,TypeScript
CommitEvent,2023-10-13,chris_lee,netflix/zuul,netflix,updated,8.0,10.0,False,Go
PullRequestEvent,2023-05-30,maria_rodriguez,elastic/beats,elastic,reviewed,30.0,6.0,True,TypeScript
PullRequestEvent,2023-09-25,jen_liu,facebook/react-native,facebook,reviewed,1.0,91.0,False,JavaScript
CommitEvent,2023-06-09,jen_liu,microsoft/PowerToys,microsoft,merged,5.0,19.0,True,Go
PushEvent,2023-04-21,sophie_duval,microsoft/playwright,microsoft,updated,6.0,18.0,False,Go
MergeEvent,2023-11-02,lisa_anderson,microsoft/vscode,microsoft,merged,,,True,Rust
PullRequestEvent,2023-04-19,jen_liu,airbnb/visx,airbnb,approved,4.0,17.0,True,Python
PushEvent,2023-08-15,sophie_duval,airbnb/enzyme,airbnb,reviewed,10.0,21.0,True,Java
CreateEvent,2023-07-15,tom_nelson,airbnb/visx,airbnb,updated,,,True,Rust
IssuesEvent,2023-05-19,alex_kumar,elastic/elasticsearch,elastic,commented,,,True,Rust
PullRequestEvent,2023-04-17,david_martinez,google/kubernetes,google,updated,23.0,80.0,True,JavaScript
MergeEvent,2023-11-05,john_taylor,hashicorp/vault,hashicorp,reviewed,,,True,JavaScript
CreateEvent,2023-06-14,chris_lee,airbnb/javascript,airbnb,merged,,,True,TypeScript
PushEvent,2023-09-24,emma_garcia,hashicorp/consul,hashicorp,opened,7.0,12.0,True,Java
CreateEvent,2023-07-11,robert_brown,hashicorp/vagrant,hashicorp,merged,,,True,Java
MergeEvent,2023-10-31,maria_rodriguez,netflix/conductor,netflix,created,,,False,Java
CommitEvent,2023-10-06,jen_liu,microsoft/dotnet,microsoft,created,2.0,25.0,True,Rust
CommitEvent,2023-05-02,olivia_zhang,hashicorp/terraform,hashicorp,created,15.0,13.0,True,Java
CreateEvent,2023-11-22,john_taylor,google/kubernetes,google,created,,,True,Java
CreateEvent,2023-09-15,sophie_duval,facebook/relay,facebook,merged,,,True,Java
CommitEvent,2023-11-18,olivia_zhang,google/flutter,google,closed,9.0,22.0,True,Python
PullRequestEvent,2023-07-21,mark_davis,airbnb/mavericks,airbnb,updated,4.0,89.0,True,C++
PullRequestEvent,2023-08-21,anna_wilson,microsoft/vscode,microsoft,closed,19.0,60.0,True,JavaScript
CreateEvent,2023-06-26,robert_brown,uber/cadence,uber,updated,,,True,TypeScript
PushEvent,2023-08-24,john_taylor,elastic/logstash,elastic,commented,6.0,18.0,True,Rust
MergeEvent,2023-11-18,anna_wilson,microsoft/vscode,microsoft,approved,,,True,Python
MergeEvent,2023-05-01,olivia_zhang,vercel/hyper,vercel,merged,,,True,Rust
CreateEvent,2023-10-10,nina_patel,google/go,google,created,,,True,Go
MergeEvent,2023-11-12,alex_kumar,uber/jaeger,uber,reviewed,,,True,C++
PushEvent,2023-04-12,olivia_zhang,vercel/hyper,vercel,created,8.0,14.0,False,Rust
CreateEvent,2023-02-21,rachel_kim,elastic/elasticsearch,elastic,opened,,,True,C++
IssuesEvent,2023-06-19,nina_patel,microsoft/PowerToys,microsoft,updated,,,True,Rust
PushEvent,2023-12-15,david_martinez,airbnb/visx,airbnb,updated,12.0,7.0,False,Rust
MergeEvent,2023-10-04,mark_davis,elastic/apm-server,elastic,approved,,,True,Java
PullRequestEvent,2023-04-04,maria_rodriguez,airbnb/lottie,airbnb,created,16.0,64.0,False,JavaScript
IssuesEvent,2023-05-13,alex_kumar,vercel/turbo,vercel,closed,,,True,Go
PushEvent,2023-03-07,robert_brown,facebook/jest,facebook,updated,2.0,22.0,True,Python
PushEvent,2023-06-09,rachel_kim,netflix/hystrix,netflix,opened,1.0,12.0,False,C++
IssuesEvent,2023-12-03,rachel_kim,microsoft/playwright,microsoft,approved,,,True,Rust
CommitEvent,2023-11-11,mark_davis,google/go,google,created,15.0,25.0,True,TypeScript
MergeEvent,2023-09-03,sarah_chen,netflix/hystrix,netflix,commented,,,True,Rust
PullRequestEvent,2023-10-23,olivia_zhang,facebook/react,facebook,commented,33.0,40.0,True,Java
PushEvent,2023-12-02,emma_garcia,uber/react-map-gl,uber,closed,10.0,12.0,False,Go
CreateEvent,2023-12-28,rachel_kim,airbnb/visx,airbnb,approved,,,True,JavaScript
MergeEvent,2023-06-10,robert_brown,vercel/swr,vercel,closed,,,True,Rust
MergeEvent,2023-09-18,sophie_duval,netflix/eureka,netflix,approved,,,False,Python
MergeEvent,2023-06-03,anna_wilson,google/kubernetes,google,merged,,,True,Go
CreateEvent,2023-02-26,robert_brown,microsoft/terminal,microsoft,opened,,,True,C++
MergeEvent,2023-04-07,olivia_zhang,netflix/conductor,netflix,opened,,,False,TypeScript
CommitEvent,2023-08-31,nina_patel,uber/pyro,uber,closed,11.0,24.0,False,C++
CommitEvent,2023-12-27,john_taylor,hashicorp/packer,hashicorp,merged,11.0,24.0,False,C++
IssuesEvent,2023-04-12,olivia_zhang,facebook/yoga,facebook,opened,,,False,Go
MergeEvent,2023-05-28,tom_nelson,microsoft/dotnet,microsoft,approved,,,True,Java
IssuesEvent,2023-12-30,james_smith,google/flutter,google,closed,,,True,Python
MergeEvent,2023-12-18,david_martinez,vercel/micro,vercel,created,,,True,C++
IssuesEvent,2023-01-09,emma_garcia,elastic/kibana,elastic,updated,,,True,JavaScript
PullRequestEvent,2023-09-30,lisa_anderson,google/tensorflow,google,opened,23.0,50.0,False,Go
PushEvent,2023-03-20,dan_murphy,elastic/apm-server,elastic,closed,9.0,25.0,True,TypeScript
IssuesEvent,2023-06-04,maria_rodriguez,uber/pyro,uber,reviewed,,,False,C++
IssuesEvent,2023-10-14,sophie_duval,google/chromium,google,merged,,,True,C++
PushEvent,2023-06-17,olivia_zhang,vercel/micro,vercel,opened,4.0,8.0,False,C++
PushEvent,2023-11-19,james_smith,elastic/logstash,elastic,created,15.0,8.0,True,Java
IssuesEvent,2023-12-01,anna_wilson,vercel/turbo,vercel,closed,,,True,Go
PushEvent,2023-10-29,jen_liu,apache/kafka,apache,merged,8.0,16.0,True,JavaScript
MergeEvent,2023-01-04,rachel_kim,microsoft/playwright,microsoft,closed,,,True,Python
IssuesEvent,2023-06-29,david_martinez,hashicorp/nomad,hashicorp,closed,,,False,Rust
PullRequestEvent,2023-06-11,sophie_duval,netflix/archaius,netflix,merged,23.0,64.0,True,Go
CreateEvent,2023-07-05,james_smith,facebook/react-native,facebook,created,,,True,C++
IssuesEvent,2023-07-19,anna_wilson,vercel/pkg,vercel,reviewed,,,True,C++
PullRequestEvent,2023-03-13,lisa_anderson,vercel/micro,vercel,commented,34.0,18.0,True,Java
PullRequestEvent,2023-06-05,dan_murphy,airbnb/visx,airbnb,merged,42.0,80.0,True,Java
CreateEvent,2023-11-03,mark_davis,google/angular,google,reviewed,,,True,JavaScript
PullRequestEvent,2023-05-18,john_taylor,facebook/yoga,facebook,opened,11.0,32.0,True,C++
CommitEvent,2023-03-24,alex_kumar,elastic/apm-server,elastic,merged,13.0,3.0,True,Java
PullRequestEvent,2023-03-14,robert_brown,elastic/logstash,elastic,merged,50.0,7.0,False,Rust
IssuesEvent,2023-09-21,david_martinez,elastic/logstash,elastic,closed,,,True,Python
CreateEvent,2023-05-23,maria_rodriguez,elastic/elasticsearch,elastic,closed,,,True,C++
IssuesEvent,2023-08-10,jen_liu,facebook/react,facebook,opened,,,False,C++
CreateEvent,2023-06-16,mike_johnson,facebook/relay,facebook,merged,,,True,Rust
PullRequestEvent,2023-10-23,robert_brown,elastic/apm-server,elastic,commented,46.0,30.0,True,Rust
CommitEvent,2023-03-29,chris_lee,microsoft/PowerToys,microsoft,closed,6.0,7.0,True,Python
MergeEvent,2023-12-16,dan_murphy,hashicorp/terraform,hashicorp,created,,,True,C++
MergeEvent,2023-09-29,chris_lee,airbnb/enzyme,airbnb,approved,,,True,JavaScript
IssuesEvent,2023-08-02,alex_kumar,uber/react-map-gl,uber,commented,,,True,Rust
CommitEvent,2023-02-09,david_martinez,apache/kafka,apache,closed,9.0,22.0,True,Python
IssuesEvent,2023-03-01,john_taylor,uber/react-map-gl,uber,closed,,,False,C++
PushEvent,2023-09-27,david_martinez,hashicorp/vault,hashicorp,reviewed,15.0,4.0,True,TypeScript
CommitEvent,2023-01-27,chris_lee,microsoft/TypeScript,microsoft,created,8.0,19.0,True,Java
MergeEvent,2023-05-04,alex_kumar,facebook/react,facebook,reviewed,,,True,Go
CreateEvent,2023-03-06,tom_nelson,airbnb/javascript,airbnb,reviewed,,,True,Go
PushEvent,2023-05-24,mike_johnson,facebook/jest,facebook,approved,5.0,23.0,False,Python
PushEvent,2023-12-14,chris_lee,hashicorp/terraform,hashicorp,merged,14.0,21.0,True,Go
MergeEvent,2023-02-13,rachel_kim,netflix/ribbon,netflix,created,,,False,JavaScript
CommitEvent,2023-04-06,olivia_zhang,apache/spark,apache,merged,2.0,2.0,True,TypeScript
PullRequestEvent,2023-04-27,alex_kumar,microsoft/TypeScript,microsoft,opened,28.0,71.0,True,Rust
PushEvent,2023-02-22,jen_liu,facebook/jest,facebook,approved,4.0,7.0,True,Go
CommitEvent,2023-10-15,olivia_zhang,facebook/relay,facebook,updated,3.0,7.0,True,Java
PushEvent,2023-01-02,robert_brown,hashicorp/nomad,hashicorp,opened,13.0,25.0,True,TypeScript
PushEvent,2023-06-10,dan_murphy,uber/kraken,uber,commented,6.0,1.0,True,Python
IssuesEvent,2023-06-09,mark_davis,netflix/eureka,netflix,closed,,,False,Python
IssuesEvent,2023-08-04,alex_kumar,microsoft/PowerToys,microsoft,created,,,True,JavaScript
CommitEvent,2023-02-05,chris_lee,elastic/beats,elastic,updated,15.0,19.0,True,JavaScript
PullRequestEvent,2023-02-06,sophie_duval,uber/jaeger,uber,commented,6.0,8.0,True,JavaScript
CommitEvent,2023-10-18,david_martinez,facebook/jest,facebook,opened,14.0,8.0,True,Python
PushEvent,2023-04-08,james_smith,facebook/react-native,facebook,updated,14.0,9.0,True,Go
PushEvent,2023-05-31,dan_murphy,airbnb/visx,airbnb,closed,14.0,25.0,False,JavaScript
CreateEvent,2023-10-31,lisa_anderson,uber/jaeger,uber,created,,,True,Go
IssuesEvent,2023-01-01,jen_liu,microsoft/playwright,microsoft,reviewed,,,True,Python
MergeEvent,2023-06-03,dan_murphy,apache/beam,apache,reviewed,,,True,JavaScript
IssuesEvent,2023-09-19,mark_davis,apache/cassandra,apache,merged,,,True,Go
PullRequestEvent,2023-06-28,maria_rodriguez,uber/react-map-gl,uber,created,3.0,67.0,True,JavaScript
PushEvent,2023-09-11,mike_johnson,airbnb/enzyme,airbnb,merged,5.0,6.0,True,TypeScript
CreateEvent,2023-10-27,chris_lee,netflix/ribbon,netflix,commented,,,True,Python
CreateEvent,2023-12-15,maria_rodriguez,microsoft/vscode,microsoft,opened,,,False,TypeScript
CommitEvent,2023-06-09,alex_kumar,airbnb/javascript,airbnb,reviewed,7.0,19.0,True,C++
IssuesEvent,2023-10-22,mark_davis,facebook/yoga,facebook,commented,,,True,C++
MergeEvent,2023-06-12,jen_liu,airbnb/enzyme,airbnb,merged,,,False,TypeScript
PullRequestEvent,2023-06-13,sophie_duval,apache/airflow,apache,opened,17.0,96.0,True,TypeScript
CommitEvent,2023-01-28,james_smith,google/tensorflow,google,updated,10.0,24.0,True,JavaScript
CreateEvent,2023-12-13,david_martinez,hashicorp/vagrant,hashicorp,approved,,,True,JavaScript
IssuesEvent,2023-07-03,dan_murphy,hashicorp/vault,hashicorp,created,,,True,Rust
CommitEvent,2023-10-13,dan_murphy,airbnb/lottie,airbnb,reviewed,9.0,3.0,True,TypeScript
CommitEvent,2023-11-09,maria_rodriguez,elastic/logstash,elastic,reviewed,15.0,16.0,False,Rust
PushEvent,2023-08-27,alex_kumar,apache/kafka,apache,commented,3.0,1.0,False,Go
CreateEvent,2023-05-12,nina_patel,microsoft/terminal,microsoft,opened,,,False,Python
PushEvent,2023-08-11,anna_wilson,netflix/zuul,netflix,commented,10.0,24.0,False,C++
IssuesEvent,2023-05-03,sophie_duval,facebook/yoga,facebook,merged,,,True,Go
MergeEvent,2023-08-28,mike_johnson,vercel/pkg,vercel,updated,,,True,Rust
CommitEvent,2023-03-04,dan_murphy,uber/pyro,uber,approved,1.0,9.0,True,JavaScript
IssuesEvent,2023-02-09,anna_wilson,microsoft/TypeScript,microsoft,reviewed,,,True,Python
MergeEvent,2023-08-24,nina_patel,facebook/relay,facebook,approved,,,False,Java
IssuesEvent,2023-01-05,john_taylor,vercel/next.js,vercel,reviewed,,,True,C++
PushEvent,2023-03-14,robert_brown,microsoft/terminal,microsoft,closed,11.0,2.0,True,Rust
CreateEvent,2023-06-04,emma_garcia,vercel/micro,vercel,commented,,,True,Rust
CommitEvent,2023-10-30,lisa_anderson,google/go,google,reviewed,3.0,3.0,True,C++
PushEvent,2023-09-13,anna_wilson,elastic/elasticsearch,elastic,reviewed,3.0,11.0,True,TypeScript
PushEvent,2023-03-10,emma_garcia,airbnb/javascript,airbnb,reviewed,1.0,20.0,True,Java
IssuesEvent,2023-12-30,david_martinez,elastic/logstash,elastic,updated,,,False,Go
IssuesEvent,2023-04-20,sophie_duval,hashicorp/vault,hashicorp,closed,,,True,Go
PullRequestEvent,2023-01-18,chris_lee,facebook/docusaurus,facebook,approved,17.0,10.0,False,TypeScript
PushEvent,2023-06-03,olivia_zhang,facebook/react-native,facebook,updated,7.0,7.0,True,Rust
PushEvent,2023-10-05,mark_davis,vercel/pkg,vercel,approved,13.0,1.0,True,Go
IssuesEvent,2023-12-16,robert_brown,hashicorp/vagrant,hashicorp,approved,,,True,Rust
PullRequestEvent,2023-05-15,sarah_chen,hashicorp/vagrant,hashicorp,reviewed,9.0,74.0,True,TypeScript
CreateEvent,2023-10-23,sarah_chen,hashicorp/consul,hashicorp,closed,,,True,Java
CreateEvent,2023-08-26,anna_wilson,elastic/apm-server,elastic,opened,,,True,Rust
CommitEvent,2023-09-02,rachel_kim,google/tensorflow,google,commented,13.0,14.0,True,C++
CreateEvent,2023-07-27,olivia_zhang,airbnb/visx,airbnb,merged,,,True,Go
CreateEvent,2023-01-19,mike_johnson,google/angular,google,approved,,,False,Python
PushEvent,2023-07-08,chris_lee,uber/jaeger,uber,opened,15.0,23.0,True,Go
PushEvent,2023-08-26,anna_wilson,vercel/swr,vercel,updated,11.0,21.0,True,TypeScript
MergeEvent,2023-12-05,mark_davis,facebook/docusaurus,facebook,created,,,True,Rust
MergeEvent,2023-05-10,lisa_anderson,netflix/ribbon,netflix,created,,,True,Rust
CommitEvent,2023-10-12,alex_kumar,airbnb/mavericks,airbnb,updated,13.0,21.0,True,JavaScript
MergeEvent,2023-11-04,mike_johnson,microsoft/dotnet,microsoft,created,,,False,Go
PullRequestEvent,2023-11-23,jen_liu,apache/airflow,apache,created,33.0,38.0,False,Python
IssuesEvent,2023-09-10,dan_murphy,apache/cassandra,apache,created,,,False,JavaScript
PullRequestEvent,2023-01-29,john_taylor,facebook/react,facebook,merged,26.0,34.0,False,JavaScript
CreateEvent,2023-08-16,robert_brown,google/kubernetes,google,updated,,,True,C++
CommitEvent,2023-10-24,emma_garcia,airbnb/javascript,airbnb,updated,6.0,1.0,True,TypeScript
CommitEvent,2023-01-31,olivia_zhang,airbnb/javascript,airbnb,commented,14.0,25.0,True,JavaScript
CommitEvent,2023-05-22,sarah_chen,facebook/yoga,facebook,updated,15.0,4.0,True,Go
PullRequestEvent,2023-04-01,sarah_chen,apache/cassandra,apache,merged,2.0,57.0,True,Java
PullRequestEvent,2023-11-29,olivia_zhang,microsoft/PowerToys,microsoft,opened,12.0,16.0,False,JavaScript
PullRequestEvent,2023-05-23,mike_johnson,apache/airflow,apache,created,45.0,71.0,True,Go
CreateEvent,2023-02-02,sophie_duval,netflix/zuul,netflix,closed,,,True,TypeScript
MergeEvent,2023-10-06,robert_brown,facebook/react-native,facebook,merged,,,True,TypeScript
PullRequestEvent,2023-09-30,jen_liu,facebook/react,facebook,updated,32.0,11.0,True,JavaScript
PullRequestEvent,2023-05-30,sophie_duval,elastic/logstash,elastic,commented,16.0,21.0,True,JavaScript
PushEvent,2023-01-17,sarah_chen,uber/pyro,uber,created,8.0,7.0,False,TypeScript
